Req_ID,Citation,Criterion_Name,Category,Base_EHR,CEHRT_MIPS,Market_Status,Tier,Standards_Referenced,Conformance_Method,Test_Tool,CCG_URL,Status,HTI5_Impact,EDN_Discretion,RWT_Applicable,Depends_On,Notes
REQ-F06,§170.315(f)(6),Transmission to Public Health Agencies — Antimicrobial Use and Resistance Reporting,Public Health,No,Optional,Niche,Tier 3,HL7 CDA / NHSN AUR specifications,Conformance Method,None,https://healthit.gov/test-method/transmission-public-health-agencies-antimicrobial-use-and-resistance-reporting/,Active,Retained,None,Yes,,Hospital and stewardship oriented
REQ-F07,§170.315(f)(7),Transmission to Public Health Agencies — Health Care Surveys,Public Health,No,Optional,Niche,Tier 3,CDC/NHSN survey specs,Conformance Method,None,https://healthit.gov/test-method/transmission-public-health-agencies-health-care-surveys/,Active,Retained,None,Yes,,Public health survey reporting
REQ-G01,§170.315(g)(1),Automated Numerator Recording,Design & Performance,No,Yes,Essential,Tier 1,None,Test Procedure,None,,Active,HTI-5 proposes removal Jan 1 2027,None,No,,CEHRT definition; PI measure automation
REQ-G02,§170.315(g)(2),Automated Measure Calculation,Design & Performance,No,Yes,Essential,Tier 1,None,Test Procedure,None,,Active,HTI-5 proposes removal Jan 1 2027,None,No,,Alternative to (g)(1) per CEHRT def
REQ-G03,§170.315(g)(3),Safety-Enhanced Design,Design & Performance,No,No,Important,Tier 2,NISTIR 7741; NISTIR 7742,Documentation Review,None,https://healthit.gov/test-method/safety-enhanced-design/,Active,HTI-5 proposes removal,None,No,,"Dependency for (a)(1)-(5), (a)(14), (b)(2)-(3), (b)(11)"
REQ-G04,§170.315(g)(4),Quality Management System,Design & Performance,No,No,Important,Tier 2,ISO 9001 or equivalent (developer choice),Attestation + Documentation,None,https://healthit.gov/test-method/quality-management-system/,Active,HTI-5 proposes removal,None,No,,Required for every module certification
REQ-G05,§170.315(g)(5),Accessibility-Centered Design,Design & Performance,No,No,Important,Tier 2,Section 508; WCAG 2.0 (developer choice),Attestation + Documentation,None,https://healthit.gov/test-method/accessibility-centered-design/,Active,HTI-5 proposes removal,None,No,,Required for every module certification
REQ-G06,§170.315(g)(6),Consolidated CDA Creation Performance,Design & Performance,No,No,Essential,Tier 2,C-CDA R2.1; Companion Guide R4.1,Test Procedure + Validators,SITE C-CDA Validator,https://healthit.gov/test-method/consolidated-cda-creation-performance/,Active,HTI-5 proposes removal,EDN2025.06 (extended to Mar 1 2026),No,,"Dependency for (b)(1), (e)(1)"
REQ-G07,§170.315(g)(7),API — Patient Selection,Design & Performance,Yes,Yes,Essential,Tier 1,None specified,Conformance Method,None,,Active,HTI-5 proposes removal Jan 1 2027,None,Yes,,Base EHR; API Condition applies
REQ-G09,§170.315(g)(9),API — All Data Request,Design & Performance,Yes,Yes,Essential,Tier 1,USCDI v3; C-CDA R4.1,Test Procedure,None,,Active,HTI-5 proposes removal Jan 1 2027,EDN2025.06 (extended to Mar 1 2026),Yes,,Base EHR; API Condition applies
REQ-G10,§170.315(g)(10),Standardized API (FHIR),Design & Performance,Yes,Yes,Essential,Tier 1,HL7 FHIR R4; US Core 6.1.0; SMART App Launch v2.0.0; Bulk Data v1.0.1,Test Procedure + Inferno + Visual Inspection,Inferno (g)(10) Test Kit v8.0.0,https://healthit.gov/test-method/standardized-api-patient-and-population-services/,Active,Retained,EDN2025.06 (extended to Mar 1 2026),Yes,,Anchor FHIR criterion; API Condition; Insights Condition
REQ-G31,§170.315(g)(31),Coverage Requirements Discovery,Design & Performance,No,No,Important,Tier 2,Da Vinci CRD IG; CDS Hooks,Test Procedure,None,,Active,Retained,None,Yes,REQ-J20,New HTI-4; prior authorization
REQ-G32,§170.315(g)(32),Documentation Templates & Rules,Design & Performance,No,No,Important,Tier 2,Da Vinci DTR IG,Test Procedure,None,,Active,Retained,None,Yes,,New HTI-4
REQ-G33,§170.315(g)(33),Prior Authorization Support,Design & Performance,No,No,Important,Tier 2,Da Vinci PAS IG; FHIR Subscriptions,Test Procedure,None,,Active,Retained,None,Yes,,New HTI-4
REQ-H01,§170.315(h)(1),Direct Project,Transport,Yes,Yes,Essential,Tier 1,Applicability Statement for Secure Health Transport v1.2,Test Procedure + ETT,Edge Testing Tool (ETT),https://healthit.gov/test-method/direct-project/,Active,HTI-5 proposes removal,None,Yes,,Base EHR (one of h(1) or h(2))
REQ-H02,§170.315(h)(2),"Direct Project, Edge Protocol, and XDR/XDM",Transport,Yes (one of h(1) or h(2)),Yes,Important,Tier 2,Direct Project; XDR/XDM; Edge Protocol,Test Procedure + ETT,Edge Testing Tool (ETT),https://healthit.gov/test-method/direct-project-edge-protocol-and-xdrxdm/,Active,HTI-5 proposes removal,None,Yes,,Alternative Base EHR transport option to h(1)
REQ-J20,§170.315(j)(20),Workflow Triggers for DSI — Clients,Workflow Triggers,No,No,Important,Tier 2,CDS Hooks,Test Procedure,None,,Active,Retained,None,Yes,REQ-G31,New HTI-4; co-certified with (g)(31)
REQ-J21,§170.315(j)(21),Subscriptions — Client,Workflow Triggers,No,No,Important,Tier 2,FHIR Subscriptions,Test Procedure,None,https://healthit.gov/test-method/subscriptions-client/,Active,Retained,None,Yes,REQ-G33,HTI-4 modular API capability
