Evidence_ID,Evidence_Name,Category,Evidence_Type,Requirement_IDs,Control_IDs,File_Location,Description,Owner,Status,Date_Created,Date_Updated,Retention_Expiry,Notes
EVD-API-002,API Terms and Conditions,API Condition,Legal Document,REQ-G10,CTRL-API-001,https://developer.healthos.io/terms,Published API terms including fee schedule,Legal,Current,2022-06-01,2026-01-15,N/A,
EVD-API-003,Service Base URL Directory,API Condition,Technical Artifact,REQ-G10,CTRL-API-002,https://fhir.healthos.io/.well-known/endpoints.json,FHIR-format organization-level endpoint directory,Engineering,Current,2024-12-20,2026-01-15,N/A,Due Dec 31 2024; operational
EVD-API-004,App Registration Tracker,API Condition,Tracker,REQ-G10,CTRL-API-003,/certification/conditions/api/app_registration_log.xlsx,Log of all app registration requests with timestamps and SLA compliance,DevRel,Active,2022-07-01,2026-03-15,2036-03-15,Target: 5 business days
EVD-RWT-001,CY 2025 RWT Plan (Internal),Real World Testing,Plan Document,REQ-G10;REQ-G07;REQ-G09,CTRL-RWT-001,/certification/rwt/2025/plan/rwt_plan_2025_internal.pdf,Internal RWT plan for (g)(7)-(g)(10) maintained despite enforcement discretion,Quality,Current,2025-10-01,2025-12-01,2035-12-01,Not required on CHPL per EDN2025.03 but maintained internally
EVD-RWT-002,CY 2025 RWT Results — (g)(10) FHIR API,Real World Testing,Results Report,REQ-G10,CTRL-RWT-002,/certification/rwt/2025/results/rwt_results_g10_2025.pdf,Real world testing results for (g)(10) including patient/population access metrics,Quality / Engineering,Submitted,2026-03-10,2026-03-10,2036-03-10,Published on CHPL Mar 15 2026
EVD-RWT-003,CY 2025 RWT Results — (g)(7)/(g)(9),Real World Testing,Results Report,REQ-G07;REQ-G09,CTRL-RWT-002,/certification/rwt/2025/results/rwt_results_g7g9_2025.pdf,Real world testing results for (g)(7) and (g)(9) API criteria,Quality / Engineering,Submitted,2026-03-10,2026-03-10,2036-03-10,
EVD-ATT-001,October 2025 Semiannual Attestation,Attestations,Attestation Record,,CTRL-ATT-001,/certification/conditions/attestations/attestation_2025_oct.pdf,Semiannual attestation for Apr-Sep 2025 period (extended to Dec 31 2025 per EDN2025.05),Compliance Officer,Submitted,2025-12-28,2025-12-28,2035-12-28,Compliant on all Conditions
EVD-INS-001,FHIR App Usage Telemetry Architecture,Insights Condition,Technical Documentation,REQ-G10,CTRL-INS-001,/certification/conditions/insights/fhir_app_telemetry_design.pdf,Architecture document for FHIR API usage instrumentation to support Insights reporting,Engineering,Draft,2026-01-15,2026-01-15,2036-01-15,Targeting July 2027 reporting start
EVD-CHPL-001,CHPL Listing Screenshot,CHPL Maintenance,Screenshot,,CTRL-CHPL-001,/certification/chpl/chpl_listing_2026Q1.png,Quarterly screenshot of HealthOS CHPL listing for accuracy verification,Regulatory Affairs,Current,2026-03-01,2026-03-01,2036-03-01,
EVD-HIPAA-001,Security Risk Analysis Report,HIPAA,Assessment Report,,CTRL-HIPAA-001,/certification/hipaa/sra_report_2025.pdf,Annual comprehensive security risk analysis per §164.308(a)(1)(ii)(A),CISO,Current,2025-11-15,2025-11-15,2031-11-15,6-year HIPAA retention
EVD-HIPAA-002,Risk Register,HIPAA,Risk Register,,CTRL-HIPAA-001,/certification/hipaa/risk_register.xlsx,"Active risk register with owners, remediation timelines, and status",IT Security,Active,2024-01-01,2026-03-10,2032-03-10,Updated quarterly
EVD-HIPAA-003,Breach Notification Playbook,HIPAA,Procedure Document,,CTRL-HIPAA-002,/certification/hipaa/breach_notification_playbook_v3.pdf,Step-by-step breach notification procedure including templates and contact lists,CISO / Legal,Current,2025-01-15,2026-01-15,2032-01-15,Tested annually via tabletop exercise
EVD-SED-001,UCD Process Documentation,Safety-Enhanced Design,Process Document,REQ-G03,CTRL-SED-001,/certification/sed/ucd_process_v2.pdf,UCD process per NISTIR 7741 covering all SED-applicable criteria,UX,Current,2024-08-01,2026-02-01,2036-02-01,
EVD-SED-002,Summative Usability Test Report,Safety-Enhanced Design,Test Report,REQ-G03;REQ-A01;REQ-A05;REQ-B03;REQ-B11,CTRL-SED-001,/certification/sed/usability_report_nistir7742.pdf,NISTIR 7742 formatted summative usability test results for all SED criteria,UX,Current,2026-01-20,2026-01-20,2036-01-20,"Task completion, error rates, satisfaction scores"
EVD-DR-001,Direct Review Response Plan,Direct Review,Procedure Document,,CTRL-DR-001,/certification/surveillance/direct_review_response_plan.pdf,Documented plan for responding to ONC Direct Review notices within 30 days,Regulatory Affairs,Current,2025-12-01,2025-12-01,2035-12-01,Includes escalation matrix and communication templates
EVD-SAFER-001,SAFER Guides Customer Toolkit,SAFER Guides,Customer Resource,,CTRL-SAFER-001,/certification/safer/safer_customer_toolkit_2026.pdf,Documentation and tools for customers to complete all 8 SAFER Guide self-assessments,Product / CS,In Progress,2026-01-15,2026-01-15,N/A,Covers 2025 SAFER Guides including AI safety recommendations
EVD-TEST-G10,Inferno (g)(10) Full Test Report,Certification Testing,Test Tool Output,REQ-G10,,/certification/g10/test-results/inferno_v8_full_report.html,Complete Inferno v8.0.0 test pass for (g)(10) including US Core 6.1.0 and SMART 2.0,QA / Engineering,Current,2026-02-20,2026-02-20,2036-02-20,All tests green
EVD-TEST-B01,C-CDA Validation Reports — (b)(1),Certification Testing,Test Tool Output,REQ-B01,,/certification/b1/test-results/ccda_uscdi_v3_validation.html,SITE C-CDA USCDI v3 validator results for Transitions of Care documents,QA,Current,2026-02-15,2026-02-15,2036-02-15,Error-free validation
EVD-TEST-B03,eRx Test Suite Results — (b)(3),Certification Testing,Test Tool Output,REQ-B03,,/certification/b3/test-results/erx_test_suite_results.pdf,eRx Testing Suite validation for NCPDP SCRIPT transactions,QA,Current,2026-02-10,2026-02-10,2036-02-10,"NewRx, Refill, CancelRx, ePA all pass"
EVD-TEST-C01,Cypress eCQM Test Results — (c)(1)-(3),Certification Testing,Test Tool Output,REQ-C01;REQ-C02;REQ-C03,,/certification/c1/test-results/cypress_full_results.html,"Cypress test results for CQM record, export, import, calculate, report",QA,Current,2026-01-30,2026-01-30,2036-01-30,All presented CQMs pass
EVD-TEST-F01,NIST Immunization Test Suite Results — (f)(1),Certification Testing,Test Tool Output,REQ-F01,,/certification/f1/test-results/nist_immunization_results.pdf,"NIST HL7 v2 Immunization Test Suite validation for VXU, QBP, RSP messages",QA,Current,2026-02-05,2026-02-05,2036-02-05,All test cases error-free
EVD-TEST-H01,ETT Direct Transport Results — (h)(1),Certification Testing,Test Tool Output,REQ-H01,,/certification/h1/test-results/ett_direct_results.pdf,Edge Testing Tool results for Direct Project send/receive,QA,Current,2026-02-12,2026-02-12,2036-02-12,
