"Requirement ID","Requirement Type","Criterion/Authority","Title","Exact Requirement Summary","Applicability","Source URL","Evidence Expected","Test Method","Owner Function","Audit Questions","Pass Conditions","Failure Risks","Frequency","Effective Date","Due Date/Trigger","Notes"
"CERT-B3","Certification Criterion","§170.315(b)(3)","Electronic Prescribing","Create new prescriptions, refills, change requests, cancel, fill status notifications, and ePA transactions. Use NCPDP SCRIPT standard; medication selection via RxNorm.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","eRx Testing Suite validation reports; NCPDP SCRIPT message samples; RxNorm mapping evidence; all transaction types demonstrated.","Test Procedure: eRx Testing Suite + test data.","Product / Engineering","Can the system generate all required NCPDP SCRIPT transaction types? Are medications coded to RxNorm?","eRx test suite passes; all transaction types validated; RxNorm coded.","PI e-Prescribing measure unsupported; certification failure.","Initial certification + update for SCRIPT 2023011","2015; HTI-4 updated to SCRIPT 2023011","Oct 1, 2025 (HTI-4 effective); SCRIPT v2017071 expires Jan 1, 2028","Will join Base EHR Jan 1, 2028. Dependency: (g)(3) SED."
"CERT-B4","Certification Criterion","§170.315(b)(4)","Real-Time Prescription Benefit","Process and display real-time prescription benefit information during prescribing; present patient-specific formulary, coverage, and cost data.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","RTPB Testing Tool validation; demonstration of benefit display during prescribing workflow.","Test Procedure: RTPB Testing Tool.","Product / Engineering","Does the system query and display RTPB data during prescribing? Is NCPDP RTPB v13 standard used?","RTPB data displayed during prescribing; test tool validates messages.","Competitive disadvantage; will become Base EHR requirement in 2028.","Initial certification","Oct 1, 2025 (HTI-4)","Must co-certify with (b)(3); joins Base EHR Jan 1, 2028","New in HTI-4. Must co-certify with (b)(3)."
"CERT-B7","Certification Criterion","§170.315(b)(7)","Security Tags — Summary of Care — Send","Apply security labels/tags to C-CDA documents when sending, based on HL7 DS4P.","Optional","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","DS4P-tagged C-CDA documents; test tool validation.","Test Procedure: test tools.","Product / Engineering","Can the system apply DS4P security tags to outgoing C-CDA documents?","Security-tagged C-CDA documents validated.","Niche: relevant for behavioral health/SUD settings only.","Initial certification if elected","2015 (2015 Edition Final Rule)","If certified, ongoing compliance required","HTI-5 proposes removal."
"CERT-B8","Certification Criterion","§170.315(b)(8)","Security Tags — Summary of Care — Receive","Receive and process security-tagged C-CDA documents, enforcing access restrictions based on tags.","Optional","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Demonstration of receiving and enforcing DS4P-tagged documents.","Test Procedure: test tools.","Product / Engineering","Can the system receive and enforce DS4P security tags on incoming C-CDAs?","DS4P tags correctly enforced on received documents.","Niche: behavioral health/SUD only.","Initial certification if elected","2015 (2015 Edition Final Rule)","If certified, ongoing compliance required","HTI-5 proposes removal."
"CERT-B9","Certification Criterion","§170.315(b)(9)","Care Plan","Record, change, access, create, and receive care plan information using C-CDA Care Plan document template.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","C-CDA Care Plan document validated; workflow demonstration.","Test Procedure: test tools (SITE C-CDA Validators).","Product / Engineering","Can users record, modify, create, and receive care plans? Are C-CDA Care Plan documents valid?","C-CDA Care Plan validated; CRUD operations demonstrated.","Competitive disadvantage for chronic care management.","Initial certification + C-CDA R4.1 update","2015; updated by HTI-1 (C-CDA R4.1)","Prior to initial certification","Useful for chronic care. HTI-5 proposes removal."
"CERT-B10","Certification Criterion","§170.315(b)(10)","EHI Export","Single-patient and patient-population export of ALL EHI stored by the product. Export must be electronic, computable format. User must execute without developer assistance. Publicly accessible format documentation.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Data type inventory; single-patient and population export demonstration; sample export files; access control evidence; publicly posted format documentation URL.","Conformance Method: documentation + visual inspection.","Product / Engineering","Can all EHI be exported without developer assistance? Is format documentation publicly posted? Are access controls in place?","All EHI exportable; format documented publicly; access controls demonstrated.","Assurances Condition violation (§170.402); Direct Review risk; information blocking exposure.","Initial certification; ongoing Assurances obligation","Jun 30, 2020 (Cures Act); due Dec 31, 2023","Must have been certified by Dec 31, 2023 per §170.402","Required by Assurances Condition for any product storing EHI."
"CERT-B11","Certification Criterion","§170.315(b)(11)","Decision Support Interventions (DSI)","Evidence-based DSI: enable selection/activation of CDS interventions based on problem list, medications, allergies, demographics, labs, vitals. Predictive DSI: 31 source attribute fields, intervention risk management, user feedback. Replaces (a)(9) in Base EHR.","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Inventory of all DSI; source attribute documentation (13 fields evidence-based, 31 predictive); risk management docs for Predictive DSI; user feedback export samples; UCD process documentation.","Conformance Method: documentation + visual inspection.","Product / Engineering; Clinical Informatics","Are all evidence-based DSI documented with source attributes? Are Predictive DSI risk-managed? Can users provide feedback?","All source attributes complete; risk management documented for predictive DSI; feedback mechanism functional.","Certification failure; loss of Base EHR status; AI transparency non-compliance.","Initial certification + ongoing maintenance per §170.402","Jan 1, 2025 (replaces (a)(9))","Mar 1, 2026 (extended per EDN2025.06)","Dependency: (g)(3) SED with UCD gap analysis from (a)(9) to (b)(11). Ongoing: review source attributes per §170.402 Assurances starting Jan 1, 2025."
"CERT-C1","Certification Criterion","§170.315(c)(1)","CQM — Record and Export","Record all data necessary to calculate each CQM presented for certification. Export QRDA-formatted data files.","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Cypress test reports for all presented CQMs; QRDA export files validated by Cypress; demonstration of data recording.","Test Procedure: Cypress test tool + ONC test data.","Product / Engineering; Quality Reporting","Can the system record all CQM data elements? Do QRDA exports validate in Cypress?","Cypress tests pass for all presented CQMs; QRDA files valid.","Certification failure; loss of Base EHR status; eCQM reporting failure.","Initial certification + annual CQM measure updates","2015 (2015 Edition Final Rule)","Prior to initial certification","Base EHR criterion. Developer selects CQMs to certify."
"CERT-C2","Certification Criterion","§170.315(c)(2)","CQM — Import and Calculate","Import QRDA data from external sources; calculate CQMs accurately.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Cypress import/calculate test reports; evidence of accurate numerator/denominator calculation.","Test Procedure: Cypress tool with test data.","Product / Engineering; Quality Reporting","Can the system import QRDA data and calculate CQMs accurately?","Cypress import/calculate tests pass.","Loss of CEHRT status; MIPS quality reporting failure.","Initial certification + annual CQM updates","2015 (2015 Edition Final Rule)","Prior to initial certification","Required by CEHRT definition."
"CERT-C3","Certification Criterion","§170.315(c)(3)","CQM — Report","Create QRDA Category I (inpatient) and/or Category III (ambulatory) files for CMS submission.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Cypress QRDA validation reports; sample QRDA files.","Test Procedure: Cypress + Cypress Validation Utility.","Product / Engineering; Quality Reporting","Does the system generate valid QRDA Cat III files for ambulatory reporting?","Cypress validates QRDA output.","Loss of CEHRT status; CMS quality reporting failure.","Initial certification + annual updates","2015 (2015 Edition Final Rule)","Prior to initial certification","Required by CEHRT definition. Ambulatory: QRDA Cat III."
"CERT-C4","Certification Criterion","§170.315(c)(4)","CQM — Filter","Filter CQM results/data by patient demographics, provider, and other attributes.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Filtering demonstration; test procedure results.","Test Procedure.","Product / Engineering; Quality Reporting","Can CQM data be filtered by demographics, provider, and other attributes?","Filtering demonstrated for all required dimensions.","Reduced quality reporting flexibility.","Initial certification if elected","2015; HTI-1 updated code sets","Mar 1, 2026 (code set update per EDN2025.06)","Optional per CEHRT def. HTI-5 proposes removal eff. Jan 1, 2027."
"CERT-D1","Certification Criterion","§170.315(d)(1)","Authentication, Access Control, Authorization","Verify user identity; establish role-based access permissions.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Documentation of authentication mechanism; access control matrix; role-based access configuration evidence.","Conformance Method: attestation to ONC-ACB.","Product / Engineering; Security","Does the system satisfy Authentication, Access Control, Authorization requirements? Is documentation/attestation complete?","Authentication, Access Control, Authorization demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D2","Certification Criterion","§170.315(d)(2)","Auditable Events and Tamper-Resistance","Record audit events per §170.210(e); tamper-resistant audit logs; default to audit-enabled; restrict disable ability.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Audit log samples; tamper-resistance mechanism documentation; default-enabled evidence; restricted disable controls.","Conformance Method: documentation + visual inspection.","Product / Engineering; Security","Does the system satisfy Auditable Events and Tamper-Resistance requirements? Is documentation/attestation complete?","Auditable Events and Tamper-Resistance demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D3","Certification Criterion","§170.315(d)(3)","Audit Report(s)","Create audit reports for specific time periods; sort entries by data elements in §170.210(e).","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Sample audit reports; sorting/filtering demonstration.","Conformance Method.","Product / Engineering; Security","Does the system satisfy Audit Report(s) requirements? Is documentation/attestation complete?","Audit Report(s) demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D4","Certification Criterion","§170.315(d)(4)","Amendments","Enable patient to request amendment to EHI; mark amended data; provide amendment audit trail.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Amendment workflow demonstration; audit trail evidence.","Conformance Method.","Product / Engineering; Security","Does the system satisfy Amendments requirements? Is documentation/attestation complete?","Amendments demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D5","Certification Criterion","§170.315(d)(5)","Automatic Access Time-Out","Automatically stop user session after configurable inactivity period; require re-authentication.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Timeout configuration evidence; re-authentication demonstration.","Conformance Method: attestation.","Product / Engineering; Security","Does the system satisfy Automatic Access Time-Out requirements? Is documentation/attestation complete?","Automatic Access Time-Out demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D6","Certification Criterion","§170.315(d)(6)","Emergency Access","Permit identified set of users to access EHI during an emergency (break-the-glass).","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Emergency access workflow demonstration; authorization configuration.","Conformance Method: attestation.","Product / Engineering; Security","Does the system satisfy Emergency Access requirements? Is documentation/attestation complete?","Emergency Access demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D7","Certification Criterion","§170.315(d)(7)","End-User Device Encryption","Encrypt EHI stored on end-user devices, OR demonstrate no EHI stored locally.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Encryption evidence or documentation that no local EHI storage occurs.","Conformance Method: attestation.","Product / Engineering; Security","Does the system satisfy End-User Device Encryption requirements? Is documentation/attestation complete?","End-User Device Encryption demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D8","Certification Criterion","§170.315(d)(8)","Integrity","Verify EHI has not been altered in transit using hashing or digital signature.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Hash/digital signature implementation evidence.","Conformance Method.","Product / Engineering; Security","Does the system satisfy Integrity requirements? Is documentation/attestation complete?","Integrity demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D9","Certification Criterion","§170.315(d)(9)","Trusted Connection","Establish trusted connections using TLS or equivalent for EHI exchange.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","TLS configuration evidence; certificate management documentation.","Conformance Method.","Product / Engineering; Security","Does the system satisfy Trusted Connection requirements? Is documentation/attestation complete?","Trusted Connection demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D10","Certification Criterion","§170.315(d)(10)","Auditing Actions on Health Information","Record actions on health information; audit log entries immutable; detect alteration.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Action audit log samples; immutability/tamper-detection evidence.","Conformance Method.","Product / Engineering; Security","Does the system satisfy Auditing Actions on Health Information requirements? Is documentation/attestation complete?","Auditing Actions on Health Information demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D11","Certification Criterion","§170.315(d)(11)","Accounting of Disclosures","Record disclosures made for treatment, payment, and health care operations per §170.210(d).","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Disclosure log samples; TPO disclosure tracking evidence.","Conformance Method.","Product / Engineering; Security","Does the system satisfy Accounting of Disclosures requirements? Is documentation/attestation complete?","Accounting of Disclosures demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D12","Certification Criterion","§170.315(d)(12)","Encrypt Authentication Credentials","Encrypt authentication credentials stored locally or transmitted.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Written attestation; credential encryption implementation evidence.","Conformance Method: attestation.","Product / Engineering; Security","Does the system satisfy Encrypt Authentication Credentials requirements? Is documentation/attestation complete?","Encrypt Authentication Credentials demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-D13","Certification Criterion","§170.315(d)(13)","Multi-Factor Authentication","Attest whether MFA is supported with industry-recognized standards. Describe supported use cases or explain roadmap.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Written attestation with use case descriptions; MFA implementation documentation or roadmap.","Attestation only.","Product / Engineering; Security","Does the system satisfy Multi-Factor Authentication requirements? Is documentation/attestation complete?","Multi-Factor Authentication demonstrated or attested; documentation on file.","Certification dependency failure; HIPAA alignment gap; HTI-5 proposes removal but current requirement remains.","Initial certification + ongoing (dependency for other criteria)","2015 (2015 Edition Final Rule)","Prior to initial certification","Required as dependency for other certified criteria. All (d) criteria proposed for removal in HTI-5 — but still in force as of Mar 2026."
"CERT-E1","Certification Criterion","§170.315(e)(1)","View, Download, Transmit to 3rd Party","Patients must view health information online, download in human-readable and C-CDA format, and transmit to a third party. Must include USCDI data elements.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Patient portal demonstration; C-CDA download validated by SITE; Direct message transmission evidence; USCDI data element coverage.","Test Procedure: test tools (SITE C-CDA Validators, ETT) + visual inspection.","Product / Engineering","Can patients view, download (C-CDA), and transmit their health information? Does the portal support all USCDI elements?","Portal demonstrated; C-CDA validated; Direct transport functional; USCDI v3 coverage confirmed.","PI Patient Exchange measure unsupported; certification failure.","Initial certification + USCDI v3/C-CDA R4.1 update","2015; updated by HTI-1","Mar 1, 2026 (USCDI v3 + C-CDA R4.1 per EDN2025.06)","Required for PI 'Provide Patients Electronic Access' measure."
"CERT-E3","Certification Criterion","§170.315(e)(3)","Patient Health Information Capture","Enable a patient or authorized representative to transmit health information to the EHR using structured standards.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Patient health information submission demonstration; structured data receipt evidence.","Conformance Method.","Product / Engineering","Can patients submit structured health information that integrates into the EHR?","Patient-submitted data received and incorporated.","Loss of CEHRT status; HTI-5 proposes removal eff. Jan 1, 2027.","Initial certification","2015 (2015 Edition Final Rule)","Prior to initial certification","Required by CEHRT definition."
"CERT-F1","Certification Criterion","§170.315(f)(1)","Transmission to Immunization Registries","Generate HL7 v2.5.1 VXU immunization messages; consume ACK; generate QBP queries; receive/display RSP responses. CVX and NDC vaccine codes.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","NIST Immunization Test Suite validation reports; VXU/QBP/RSP message samples; CVX/NDC code mapping evidence.","Test Procedure: NIST HL7 v2 Immunization Test Suite + ONC test data + visual inspection.","Product / Engineering; Interoperability","Can the system generate valid immunization messages and process registry responses? Are CVX codes correct?","NIST test suite passes all test cases; immunization history display demonstrated.","PI Immunization Registry measure unsupported; certification failure.","Initial certification + code set updates","2015; HTI-1 updated code sets","Mar 1, 2026 (code set update per EDN2025.06)","Required PI measure."
"CERT-F2","Certification Criterion","§170.315(f)(2)","Syndromic Surveillance","Generate and transmit HL7 v2.5.1 ADT messages to public health agencies for syndromic surveillance.","Optional","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Public Health Testing Suite validation; HL7 v2 ADT message samples.","Test Procedure: Public Health Testing Suites on SITE.","Product / Engineering; Interoperability","Can the system generate and transmit valid syndromic surveillance messages?","Test suite passes; messages conformant to PHIN Messaging Guide.","Loss of PI bonus measure opportunity.","Initial certification if elected","2015 (2015 Edition Final Rule)","If certified, ongoing compliance required","PI bonus measure (5 points)."
